image_path,caption
data/manual_images\img_0.jpg,Moreton Bay Fig 1877
data/manual_images\img_1.jpg,Santa Barbara
data/manual_images\img_2.jpg,Santa Barbara
data/manual_images\img_3.jpg,Santa Barbara
data/manual_images\img_4.jpg,Santa Barbara
data/manual_images\img_5.jpg,Santa Barbara
data/manual_images\img_6.jpg,Santa Barbara
data/manual_images\img_7.jpg,Santa Barbara
data/manual_images\img_8.jpg,Santa Barbara
data/manual_images\img_9.jpg,Santa Barbara
data/manual_images\img_10.jpg,Santa Barbara
data/manual_images\img_11.jpg,Santa Barbara
data/manual_images\img_12.jpg,Santa Barbara
data/manual_images\img_13.jpg,Glasgow
data/manual_images\img_14.jpg,Glasgow
data/manual_images\img_15.jpg,Glasgow
data/manual_images\img_16.jpg,Glasgow
data/manual_images\img_17.jpg,Glasgow
data/manual_images\img_18.jpg,Glasgow
data/manual_images\img_19.jpg,Glasgow
data/manual_images\img_20.jpg,Glasgow
data/manual_images\img_21.jpg,Heads Up
data/manual_images\img_22.jpg,Steak & Ale Pie
data/manual_images\img_23.jpg,Glasgow
data/manual_images\img_24.jpg,
data/manual_images\img_25.jpg,
data/manual_images\img_26.jpg,
data/manual_images\img_27.jpg,
data/manual_images\img_28.jpg,
data/manual_images\img_29.jpg,
data/manual_images\img_30.jpg,
data/manual_images\img_31.jpg,
data/manual_images\img_32.jpg,
data/manual_images\img_33.jpg,
data/manual_images\img_34.jpg,
data/manual_images\img_35.jpg,
data/manual_images\img_36.jpg,
data/manual_images\img_37.jpg,Adams flume showing elevation of flume in relation to river
data/manual_images\img_38.jpg,848 - Klamath
data/manual_images\img_39.jpg,Adams Pumping Plant - Loading concrete bucket from 4. cu. yd. transit mix truck for wall pour
data/manual_images\img_40.jpg,"Break in C-Canal lining, CCC enrollees repairing the break"
data/manual_images\img_41.jpg,Clear Lake Dam - Large stone in self-dumping car
data/manual_images\img_42.jpg,Clear Lake Dam - Work horses starting for dam
data/manual_images\img_43.jpg,Diversion of first water into Government Laterals
data/manual_images\img_44.jpg,Enterprise Power Plant - Placing concrete in forebay paving
data/manual_images\img_45.jpg,"Excavation, Main Canal, Division 2"
data/manual_images\img_46.jpg,Gerber Dam - General view looking north of water going over spillway for the first time
data/manual_images\img_47.jpg,Link River Dam
data/manual_images\img_48.jpg,Looking up canal from upper portal of tunnel
data/manual_images\img_49.jpg,Lost River Diversion Channel Headworks - Placing concrete in floor slab gate section
